"state","year","ga_no","month","pc_no","pc_name","turnout","vote_percent","pc_type","electors","margin","n_cand","position","sex1","party1","votes1","cand1","religion","margin_percent","runner","runner_party","runner_sex","nota_percent"
"Andaman_&_Nicobar_Islands",1967,4,2,1,"ANDAMAN NICOBAR",78.05,52.57,"General",47064,10040,6,1,"Male","INC",19310,"K. R. GANESH","Hindu",27.33,"P. K. S. PRASAD","IND","M",NA
"Andhra_Pradesh",1967,4,2,1,"SRIKAKULAM",68.61,56.37,"General",490667,60358,3,1,"Male","SWA",189771,"G. LATCHANNA","Hindu",17.93,"B. RAJAGOPALRAO","INC","M",NA
"Andhra_Pradesh",1967,4,2,2,"PARVATHIPURAM",57.24,56.21,"ST",500375,35580,2,1,"Male","SWA",161009,"V.N. RAO","Hindu",12.42,"B. SATYANARAYANA","INC","M",NA
"Andhra_Pradesh",1967,4,2,3,"BOBBILI",68.16,44.29,"General",485448,75197,4,1,"Male","INC",146553,"K.N. RAO","Hindu",22.73,"S. SUBBINAIDU","IND","M",NA
"Andhra_Pradesh",1967,4,2,4,"VISAKHAPATNAM",62.13,42.04,"General",523617,34073,5,1,"Male","IND",136766,"T. VISWANATHAM","Hindu",10.47,"P. VENKATRAO","INC","M",NA
"Andhra_Pradesh",1967,4,2,5,"BHADRACHALAM",50.32,51.96,"ST",465192,67235,5,1,"Female","INC",121630,"B.K. RADHABAI","Hindu",28.72,"K.P. SANTHARAJU","CPM","M",NA
"Andhra_Pradesh",1967,4,2,6,"ANAKAPALLI",68.4,45.25,"General",533479,3024,3,1,"Male","INC",165121,"M. SURYANARAYANAMURTHY","Hindu",0.83,"V.V. RAMANA","SWA","M",NA
"Andhra_Pradesh",1967,4,2,7,"KAKINADA",71.47,44.35,"General",532127,30000,3,1,"Male","INC",168647,"T.R. MOSALIGANTI","Hindu",7.89,"P.S. SARMA","CPI","M",NA
"Andhra_Pradesh",1967,4,2,8,"RAJAHMUNDRY",74.67,57.32,"General",530740,134913,5,1,"Male","INC",227154,"D.S. RAJU","Hindu",34.04,"N.R. MOTHA","IND","M",NA
"Andhra_Pradesh",1967,4,2,9,"AMALAPURAM",66.25,41.26,"SC",518486,63266,4,1,"Male","INC",141722,"S. BAYYA","Hindu",18.42,"D. EDA","CPI","M",NA
"Andhra_Pradesh",1967,4,2,10,"NARASAPUR",76.34,44.55,"General",544802,36553,4,1,"Male","INC",185274,"D. BALARAMARAJAU","Hindu",8.79,"U. RAMAN","CPM","M",NA
"Andhra_Pradesh",1967,4,2,11,"ELURU",76.84,41.83,"General",508275,1953,4,1,"Male","INC",163360,"K. SURYANARAYAN","Hindu",0.5,"V. VIMALUDEVI","CPI","F",NA
"Andhra_Pradesh",1967,4,2,12,"GUDIVADA",76.5,35.41,"General",513970,40198,5,1,"Male","INC",139238,"M. ANKINEEDU","Hindu",10.22,"Y. NAGABHUSHANAM","CPM","M",NA
"Andhra_Pradesh",1967,4,2,13,"VIJAYAWADA",0,NA,"General",522116,0,1,1,"Male","INC",0,"K.L. RAO","Hindu",NA,NA,NA,NA,NA
"Andhra_Pradesh",1967,4,2,14,"MACHILIPATNAM",75.99,52.06,"General",505282,77592,5,1,"Male","INC",199885,"Y.A. ARASAD","Hindu",20.21,"M.H. RAO","CPM","M",NA
"Andhra_Pradesh",1967,4,2,15,"ONGOLE",73.05,53.93,"General",538338,80458,4,1,"Male","INC",212071,"K. JAGGAIAH","Hindu",20.46,"M. NARAYANASWAMY","CPM","M",NA
"Andhra_Pradesh",1967,4,2,16,"GUNTUR",70.89,59.29,"General",564418,117032,4,1,"Male","INC",237225,"K. RAGHURAMAIAH","Hindu",29.25,"N.V. LAXMINARASIMHARAO","IND","M",NA
"Andhra_Pradesh",1967,4,2,17,"NARASARAOPET",68.33,46.6,"General",584076,64431,3,1,"Male","INC",185963,"M. SUDARSANAM","Hindu",16.14,"T.K. CHOWDARY","SWA","M",NA
"Andhra_Pradesh",1967,4,2,18,"KAVALI",68.06,53.85,"General",567859,48154,3,1,"Male","INC",208098,"R.D. REDDY","Hindu",12.46,"D.K. CHOUDARY","SWA","M",NA
"Andhra_Pradesh",1967,4,2,19,"NELLORE",70.63,32.96,"SC",562683,16983,5,1,"Male","INC",130981,"B. ANJANAPPA","Hindu",4.27,"E.V. CHINNAIAH","IND","M",NA
"Andhra_Pradesh",1967,4,2,20,"TIRUPATHI",69.96,38.56,"SC",542125,6769,6,1,"Male","INC",146238,"C. DASS","Hindu",1.78,"C.V.S. MOORTHY","SWA","M",NA
"Andhra_Pradesh",1967,4,2,21,"CHITTOOR",66.62,54,"General",518637,27663,2,1,"Male","INC",186594,"N.P.C. NAIDU","Hindu",8.01,"N.G. RANGA","SWA","M",NA
"Andhra_Pradesh",1967,4,2,22,"RAJAMPET",69.53,52.62,"General",518951,66549,4,1,"Male","INC",189874,"P. PARTHASARATHY","Hindu",18.44,"C.L.N. REDDY","SWA","M",NA
"Andhra_Pradesh",1967,4,2,23,"CUDDAPAH",73.86,49.25,"General",527110,37719,3,1,"Male","CPI",191736,"Y.E. REDDY","Hindu",9.69,"K. RAMASUBBAMMA","INC","M",NA
"Andhra_Pradesh",1967,4,2,24,"HINDUPUR",61.73,47.13,"General",496405,42236,4,1,"Male","INC",144438,"S. R. NEELAM","Hindu",13.78,"K. V. S. REEDY","SWA","M",NA
"Andhra_Pradesh",1967,4,2,25,"ANANTAPUR",66.41,40.59,"General",503317,62614,4,1,"Male","INC",135685,"P. A. REDDY","Hindu",18.73,"I. SADASIVAN","CPI","M",NA
"Andhra_Pradesh",1967,4,2,26,"KURNOOL",64.19,48.82,"General",510823,10783,4,1,"Male","SWA",160080,"Y. G. LINGANAGOWDA","Hindu",3.29,"D. SANJEEVAYYA","INC","M",NA
"Andhra_Pradesh",1967,4,2,27,"NANDYAL",73.78,66.22,"General",536794,168825,3,1,"Male","INC",262256,"P. V.SUBBAIAH","Hindu",42.63,"S. REDDY","CPI","M",NA
"Andhra_Pradesh",1967,4,2,28,"NAGARKURNOOL",55.94,47.42,"SC",488772,39659,4,1,"Male","INC",129636,"J. B. M. RAO","Hindu",14.51,"Y. DANAYYA","IND","M",NA
"Andhra_Pradesh",1967,4,2,29,"MAHBUBNAGAR",56.9,58.92,"General",528864,89817,4,1,"Male","INC",177320,"J. R. RAO","Hindu",29.85,"M. KISTAYYA","IND","M",NA
"Andhra_Pradesh",1967,4,2,30,"HYDERABAD",55.79,45.23,"General",458524,45585,3,1,"Male","INC",115709,"G. S. MELKOTE","Hindu",17.82,"V. R. RAO","IND","M",NA
"Andhra_Pradesh",1967,4,2,31,"SECUNDERABAD",50.35,50.83,"General",466291,82532,6,1,"Male","INC",119346,"B. A. MIRZA","Muslim",35.15,"A. LAKSHMINARAYANA","IND","M",NA
"Andhra_Pradesh",1967,4,2,32,"SIDDIPET",63.35,52.05,"SC",489114,97830,5,1,"Male","INC",161273,"G. VENKATSWAMY","Hindu",31.58,"A. R. DEVRAJ","CPI","M",NA
"Andhra_Pradesh",1967,4,2,33,"MEDAK",56.89,45.12,"General",498348,84665,7,1,"Female","INC",127917,"S. L. BAI .","Hindu",29.86,"K. RAMIAH","IND","M",NA
"Andhra_Pradesh",1967,4,2,34,"NIZAMABAD",55.17,53.43,"General",507608,70245,4,1,"Male","IND",149632,"M.N. REDDY","Hindu",25.08,"H.C. HEDA","INC","M",NA
"Andhra_Pradesh",1967,4,2,35,"ADILABAD",57.9,59.52,"General",465742,74250,3,1,"Male","INC",160494,"P.G. REDDY","Hindu",27.53,"D.S. RAO","CPI","M",NA
"Andhra_Pradesh",1967,4,2,36,"PEDDAPALLI",60.51,51.66,"SC",497627,72195,4,1,"Male","INC",155550,"M.R. KRISHNA","Hindu",23.98,"PALANIVELU","IND","M",NA
"Andhra_Pradesh",1967,4,2,37,"KARIMNAGAR",53.3,32.14,"General",513265,2176,5,1,"Male","INC",87933,"J. R. RAO","Hindu",0.8,"V. ISWARAIAH","IND","M",NA
"Andhra_Pradesh",1967,4,2,38,"WARANGAL",65.77,42.67,"General",522827,69945,4,1,"Male","INC",146715,"R. S. REDDY.","Hindu",20.34,"L. S. RAJU","BJS","M",NA
"Andhra_Pradesh",1967,4,2,39,"KHAMMAM",75.82,53.12,"General",497926,111328,4,1,"Female","INC",200534,"T. LAKSHMIKANTAMMA","Hindu",29.49,"M. K. RAO","CPM","M",NA
