COUNT(*),Date(cout)
21827,2015-01-02
27646,2015-01-03
16913,2015-01-04
24025,2015-01-05
21120,2015-01-06
21563,2015-01-07
21410,2015-01-08
15578,2015-01-09
27007,2015-01-10
18283,2015-01-11
25473,2015-01-12
21308,2015-01-13
21147,2015-01-14
20202,2015-01-15
15104,2015-01-16
26724,2015-01-17
11991,2015-01-18
28483,2015-01-20
20937,2015-01-21
19839,2015-01-22
14986,2015-01-23
28093,2015-01-24
15625,2015-01-25
22479,2015-01-26
20099,2015-01-27
22351,2015-01-28
20329,2015-01-29
15808,2015-01-30
25859,2015-01-31
10476,2015-02-01
24405,2015-02-02
20486,2015-02-03
21473,2015-02-04
19487,2015-02-05
14822,2015-02-06
26940,2015-02-07
16042,2015-02-08
23770,2015-02-09
20911,2015-02-10
20365,2015-02-11
20793,2015-02-12
15141,2015-02-13
24792,2015-02-14
15668,2015-02-15
5,2015-02-16
28481,2015-02-17
22282,2015-02-18
20565,2015-02-19
15677,2015-02-20
26236,2015-02-21
16157,2015-02-22
23170,2015-02-23
20876,2015-02-24
22131,2015-02-25
22589,2015-02-26
15433,2015-02-27
26783,2015-02-28
16483,2015-03-01
23102,2015-03-02
20802,2015-03-03
21456,2015-03-04
19588,2015-03-05
14834,2015-03-06
25099,2015-03-07
14105,2015-03-08
23169,2015-03-09
21105,2015-03-10
20673,2015-03-11
19704,2015-03-12
13841,2015-03-13
26094,2015-03-14
15649,2015-03-15
23709,2015-03-16
19314,2015-03-17
19978,2015-03-18
20289,2015-03-19
15415,2015-03-20
26665,2015-03-21
16590,2015-03-22
25268,2015-03-23
21620,2015-03-24
21735,2015-03-25
20473,2015-03-26
14719,2015-03-27
24580,2015-03-28
15590,2015-03-29
22589,2015-03-30
19582,2015-03-31
21069,2015-04-01
19977,2015-04-02
14998,2015-04-03
23810,2015-04-04
9584,2015-04-05
23702,2015-04-06
21935,2015-04-07
20196,2015-04-08
19764,2015-04-09
15715,2015-04-10
25582,2015-04-11
14859,2015-04-12
23481,2015-04-13
21707,2015-04-14
20933,2015-04-15
19103,2015-04-16
13058,2015-04-17
21073,2015-04-18
13920,2015-04-19
22851,2015-04-20
19757,2015-04-21
20324,2015-04-22
19883,2015-04-23
15257,2015-04-24
24028,2015-04-25
14706,2015-04-26
21797,2015-04-27
20967,2015-04-28
20954,2015-04-29
19459,2015-04-30
13260,2015-05-01
21555,2015-05-02
13780,2015-05-03
22149,2015-05-04
20313,2015-05-05
20513,2015-05-06
18847,2015-05-07
12127,2015-05-08
19414,2015-05-09
12422,2015-05-10
24969,2015-05-11
19976,2015-05-12
