"state","year","month","party","votes"
"Andhra_Pradesh",1962,2,"SWA","10.4"
"Andhra_Pradesh",1967,2,"SWA","9.84"
"Andhra_Pradesh",1972,2,"SWA","1.98"
"Andhra_Pradesh",1962,2,"IND","20.48"
"Andhra_Pradesh",1967,2,"IND","26.41"
"Andhra_Pradesh",1972,2,"IND","32.22"
"Andhra_Pradesh",1978,2,"IND","9.19"
"Andhra_Pradesh",1983,2,"IND","55.99"
"Andhra_Pradesh",1985,2,"IND","9.1"
"Andhra_Pradesh",1989,2,"IND","6.58"
"Andhra_Pradesh",1994,2,"IND","8.65"
"Andhra_Pradesh",1999,2,"IND","4.78"
"Andhra_Pradesh",2004,2,"IND","6.57"
"Andhra_Pradesh",2009,2,"IND","4.65"
"Andhra_Pradesh",2014,2,"IND","3.07"
"Andhra_Pradesh",1962,2,"INC","47.25"
"Andhra_Pradesh",1967,2,"INC","45.42"
"Andhra_Pradesh",1972,2,"INC","52.29"
"Andhra_Pradesh",1978,2,"INC","17.01"
"Andhra_Pradesh",1983,2,"INC","33.58"
"Andhra_Pradesh",1985,2,"INC","37.26"
"Andhra_Pradesh",1989,2,"INC","47.1"
"Andhra_Pradesh",1994,2,"INC","33.86"
"Andhra_Pradesh",1999,2,"INC","40.61"
"Andhra_Pradesh",2004,2,"INC","38.56"
"Andhra_Pradesh",2009,2,"INC","36.47"
"Andhra_Pradesh",2014,2,"INC","11.71"
"Andhra_Pradesh",1962,2,"CPI","19.53"
"Andhra_Pradesh",1967,2,"CPI","7.78"
"Andhra_Pradesh",1972,2,"CPI","5.98"
"Andhra_Pradesh",1978,2,"CPI","2.49"
"Andhra_Pradesh",1983,2,"CPI","2.79"
"Andhra_Pradesh",1985,2,"CPI","2.69"
"Andhra_Pradesh",1989,2,"CPI","2.64"
"Andhra_Pradesh",1994,2,"CPI","3.39"
"Andhra_Pradesh",1999,2,"CPI","1.62"
"Andhra_Pradesh",2004,2,"CPI","1.53"
"Andhra_Pradesh",2009,2,"CPI","1.22"
"Andhra_Pradesh",2014,2,"CPI","0.53"
"Andhra_Pradesh",1962,2,"JS","1.04"
"Andhra_Pradesh",1962,2,"SOC","0.61"
"Andhra_Pradesh",1967,2,"CPM","7.61"
"Andhra_Pradesh",1972,2,"CPM","3.18"
"Andhra_Pradesh",1978,2,"CPM","2.71"
"Andhra_Pradesh",1983,2,"CPM","2.01"
"Andhra_Pradesh",1985,2,"CPM","2.31"
"Andhra_Pradesh",1989,2,"CPM","2.46"
"Andhra_Pradesh",1994,2,"CPM","2.97"
"Andhra_Pradesh",1999,2,"CPM","1.7"
"Andhra_Pradesh",2004,2,"CPM","1.84"
"Andhra_Pradesh",2009,2,"CPM","1.43"
"Andhra_Pradesh",2014,2,"CPM","0.83"
"Andhra_Pradesh",1967,2,"BJS","2.11"
"Andhra_Pradesh",1972,2,"BJS","1.86"
"Andhra_Pradesh",1989,2,"BJS","0"
"Andhra_Pradesh",1978,2,"INC(I)","39.25"
"Andhra_Pradesh",1978,2,"JNP","28.85"
"Andhra_Pradesh",1983,2,"JNP","0.96"
"Andhra_Pradesh",1985,2,"JNP","0.76"
"Andhra_Pradesh",1983,2,"BJP","2.76"
"Andhra_Pradesh",1985,2,"BJP","1.62"
"Andhra_Pradesh",1989,2,"BJP","1.78"
"Andhra_Pradesh",1994,2,"BJP","3.89"
"Andhra_Pradesh",1999,2,"BJP","3.67"
"Andhra_Pradesh",2004,2,"BJP","2.63"
"Andhra_Pradesh",2009,2,"BJP","2.84"
"Andhra_Pradesh",2014,2,"BJP","4.13"
"Andhra_Pradesh",1983,2,"TDP","0.21"
"Andhra_Pradesh",1985,2,"TDP","46.21"
"Andhra_Pradesh",1989,2,"TDP","36.55"
"Andhra_Pradesh",1994,2,"TDP","44.15"
"Andhra_Pradesh",1999,2,"TDP","43.87"
"Andhra_Pradesh",2004,2,"TDP","37.59"
"Andhra_Pradesh",2009,2,"TDP","28.12"
"Andhra_Pradesh",2014,2,"TDP","32.53"
"Andhra_Pradesh",1989,2,"MIM","1.99"
"Andhra_Pradesh",1994,2,"MIM","0.7"
"Andhra_Pradesh",2004,2,"TRS","6.68"
"Andhra_Pradesh",2009,2,"TRS","3.99"
"Andhra_Pradesh",2014,2,"TRS","13.68"
"Andhra_Pradesh",2009,2,"PRAP","16.32"
"Andhra_Pradesh",2014,2,"YSRCP","27.88"
