State_Name,AC_Name,DelimID,AC_Type,Status,Notes,Notes1,,
Andhra_Pradesh,GANNAVARAM,4,2,Y,Two constituencies of the same name exist one of them is SC and the other GEN,,,
Andhra_Pradesh,PRATHIPADU,4,2,Y,Two constituencies of the same name exist one of them is SC and the other GEN,,,
Arunachal_Pradesh,ANINI,3,2,N,Seems like in Arunachal there has been a delimitation post 1984.,Change,,
Arunachal_Pradesh,BASAR,3,2,N,Seems like in Arunachal there has been a delimitation post 1984.,Change,,
Arunachal_Pradesh,BOMDILA,3,2,N,Have to check with ECI,Change,,
Arunachal_Pradesh,CHAYANGTAJO,3,2,N,,Change,,
Arunachal_Pradesh,DAPORIJO,3,2,N,,Change,,
Arunachal_Pradesh,KOLORIANG,3,2,N,,Change,,
Arunachal_Pradesh,MECHUKA,3,2,N,,Change,,
Arunachal_Pradesh,ROING,3,2,N,,Change,,
Bihar,CHAINPUR,1,2,Y,"Two constituencies of the same name exist one of them was ST and the other SC. This got changed to SC and GEN for Delim 3, and was then further changed to GEN for both seats post 2008.",,,
Bihar,KISHANGANJ,1,2,Y,Two constituencies of the same name exist one of them is SC and the other GEN,,,
Bihar,RAMGARH,1,2,Y,Two constituencies of the same name exist one of them is SC and the other GEN,,,
Bihar,BARHAIT,2,2,N,No Idea. Maybe we need to see if there is a different provision for ST seats.,Change,,
Bihar,CHAINPUR,2,2,Y,"Two constituencies of the same name exist one of them was ST and the other SC. This got changed to SC and GEN for Delim 3, and was then further changed to GEN for both seats post 2008.",,,
Bihar,PATEPUR,2,2,N,Maybe some sort of overhauling happened before the 1969 elections in Bihar which redistributed the seats for SCs and STs in Bihar,,,
Bihar,SONBARSA,2,2,Y,Till 1969 there were two SONBARSA's. Post the 1972 delimitation only one was left by that name which was GEN. Only in 2010 it got changed to SC.,,,
Bihar,CHATRA,3,2,N,No Idea. Maybe we need to see if there is a different provision for SC seats in 1980.,,,
Bihar,ROSERA,3,2,N,No Idea. Maybe we need to see if there is a different provision for SC seats in 1985.,,,
Bihar,SINGHIA,3,2,N,No Idea. Maybe we need to see if there is a different provision for SC seats in 1985.,,,
Bihar,SULTANGANJ,3,2,N,No Idea. Maybe we need to see if there is a different provision for SC seats in 1980.,,,
Bihar,KALYANPUR,4,2,Y,Two constituencies of the same name exist one of them is SC and the other GEN,,,
Delhi,BAWANA,3,2,Y,No Idea. Maybe we need to see if there is a different provision for SC seats in 1993,,,
Delhi,GOLE MARKET,3,2,Y,No Idea. Maybe we need to see if there is a different provision for SC seats in 1993,,,
Delhi,MEHRAULI,3,2,Y,No Idea. Maybe we need to see if there is a different provision for SC seats in 1993,,,
Delhi,NARELA,3,2,Y,No Idea. Maybe we need to see if there is a different provision for SC seats in 1993,,,
Goa,SANGUEM,3,2,N,"Wrongly mapped in our file. ECI pdf also states that it is  a GEN constituency, and not ST type.",,,
Gujarat,MAHUVA,1,2,Y,Two constituencies of the same name exist one of them is ST and the other GEN,,,
Gujarat,MANDVI,1,2,Y,Used to be two constituencies uptill 1972 but then there was only one by this name till 2007 election. Only in 2012 there became two constituencies again with this name.,,,
Gujarat,DEDIAPADA,2,2,N,No Idea why it changed in 1967. Is there a different provision for SC and ST seats disstribution?,,,
Gujarat,JETPUR,2,2,N,No idea why it changed in 1967.  ,,,One general and one ST seat by same name. 
Gujarat,JHALOD,2,2,N,In 1967 it changed to a SC seat from a ST seat. However in 1972 it was again a ST seat. ,,,
Gujarat,MAHUVA,2,2,Y,Two constituencies of the same name exist one of them is ST and the other GEN,,,
Gujarat,MANDVI,2,2,Y,Two constituencies of the same name exist one of them is ST and the other GEN,,,
Gujarat,MANGROL,2,2,N,No idea why it changed in 1967. One GEN and another ST seat. ,,,
Gujarat,BHILODA,3,2,N,2007 has been wrongly mapped in our data. ECI data shows it as a GEN seat. ,,,
Gujarat,GADHADA,3,2,N,In 1980 the seat changed from GEN to SC seat within the delimination period and its consistent with the ECI data. ,,,
Gujarat,JETPUR,3,2,N,"In DEL 3, data is mapped wrongly, because ECI data of 1980 shows two GEN seats by same name. From 1975 there was one GEN seat. In 2007, our data again shows two seats - one ST and another GEN. However, both seats are GEN as per eci data. ",,,
Gujarat,MAHUVA,3,2,Y,Two constituencies of the same name exist one of them is ST and the other GEN,,,
Gujarat,MANGROL,3,2,Y,Two constituencies of the same name exist one of them is ST and the other GEN,,,
Gujarat,NAVSARI,3,2,N,In 1980 the seat changed from GEN to SC seat within the delimination period 3 and its consistent with the ECI data. ,,,
Gujarat,SONGADH,3,2,N,"In Del 3, this seat was changed to GEN in 1975. However 1980 onwards, it again became a ST seat as per Eci data",,,
Gujarat,JETPUR,4,2,N,,Change,,
Gujarat,MAHUVA,4,2,Y,Two constituencies of the same name exist one of them is ST and the other GEN,,,
Gujarat,MANDVI,4,2,Y,Two constituencies of the same name exist one of them is ST and the other GEN,,,
Gujarat,MANGROL,4,2,Y,Two constituencies of the same name exist one of them is ST and the other GEN,,,
Himachal_Pradesh,JOGINDER NAGAR,2,2,Y,"During  Del 2, in 1967 it was a SC seat. In 1972 it changed to a GEN seat, as backed by ECI data",,,
Himachal_Pradesh,KASUMPTI,2,2,Y,"During  Del 2, in 1967 it was a SC seat. In 1972 it changed to a GEN seat, as backed by ECI data",,,
Jammu_&_Kashmir,BASOHLI,3,2,N,"During Del 3, this seat changed from Gen to SC seat in 1987 before going back to GEN in 1996 - same as ECI data",,,
Jammu_&_Kashmir,BHILLAWAR,3,2,N,In 1987 it changed into a SC seat within DEL 3 period - same as ECI data. ,,,
Jammu_&_Kashmir,CHHAMB,3,2,N,"In 1996, the seat changed into a SC seat from a GEN seat during DEL 3. It is consistent with ECI data. ",,,
Jammu_&_Kashmir,HIRANAGAR,3,2,N,"In 1996, the seat changed into a SC seat from a GEN seat during DEL 3. It is consistent with ECI data. ",,,
Jammu_&_Kashmir,JAMMU WEST,3,2,N,"In 1987, it became a SC seat, before going back to GEN seat from 1996 again. Consistent with ECI data. ",,,
Jammu_&_Kashmir,KATHUA,3,2,N,"In 1996, it changed to GEN seat from SC seat - same in ECI data. ",,,
Jammu_&_Kashmir,MARH,3,2,N,"Post 1987, this seat changed to a GEN  seat from SC. Consistent with ECI data. ",,,
Jammu_&_Kashmir,MENDHAR,3,2,N,Only for 1987 this seat was a ST seat. Else it is GEN seat for all years. Consistent with ECI data. ,,,
Jammu_&_Kashmir,RAMBAN,3,2,N,In 1996 it changed from a GEN seat to SC seat - consistent with ECI data. ,,,
Jammu_&_Kashmir,RAMNAGAR,3,2,N,In 1996 it changed from a GEN seat to SC seat - consistent with ECI data. ,,,
Jammu_&_Kashmir,SAMBA,3,2,N,In 1996 it changed from a GEN seat to SC seat - consistent with ECI data. ,,,
Kerala,KILIMANOOR,2,2,N,"During Del 2, in 1970 it became a GEN seat from a SC seat, 1977 onwards became a SC seat. ",,,
Kerala,SULTAN'S BATTERY,3,2,N,"During Del 3, this seat changed from ST to GEN seat in 1980. ",,,
Kerala,THRITHALA,3,2,N,"During Del 3, this seat changed from GEN seat to ST seat in 1980. ",,,
Madhya_Pradesh,SARDARPUR,2,2,N,"During Del 2, this seat changed from SC in 1967 to ST seat in 1972",,,
Madhya_Pradesh,UJJAIN SOUTH,2,2,Y,"During Del 2, this seat changed from SC in 1967 to ST seat in 1973",,,
Madhya_Pradesh,AMANGANJ,3,2,N,"During the period of Del 3, this seat has transitioned between SC and Gen a number of times. ",,,
Madhya_Pradesh,SEONDHA,3,2,N,"During Delim 3, the seat transitioned between Gen to SC in 1980. It has subsequently been a SC seat ",,,
Maharashtra,ASHTI,1,2,Y,"There are two constituencies by the same name, one SC and another Gen. ",,,
Maharashtra,BHUSAWAL,4,2,N,"During Del 4, the seat transitioned from GEN to SC, in 2014",,,
Manipur,KAKCHING,3,2,N,"The data is mapped wrong in our records. According to 2007 eci data, this seat is a GEN seat. ",,,
